"Create Parent", "Parent erstellen"
"Create Child", "Child erstellen"
"Insert Categories", "Kategorien einfügen"
"Remove Categories", "Kategorien entfernen"
"Remove", "Entfernen"
"Yes", "Ja"
"Navigation Module","Navigation Modul"
"No", "Nein"
"Update", "Aktualisieren"
"Unsaved!", "Speichern!"
"You already have a node with this link, create anyways?", "Sie haben bereits einen Node mit diesem Link, trotzdem erstellen?"
"You can't create a Child Node inside a Category Node!", "Sie können keinen Child-Node in einem Kategorie-Node erstellen!"
"You can't remove a Category Node!", "Sie können einen Kategorie-Node nicht entfernen!"
"You can't rename a Category Node!", "Sie können einen Kategorie-Node nicht umbenennen!"
"You need to select a Node to update a Link!", "Bitte wählen Sie einen Node aus, dessen Link sie bearbeiten möchten."
"You can't change the link of a category Node!", "Sie können den Link eines Kategorie-Nodes nicht bearbeiten!"
